model,learning_rate,optimizer,dropout,batch_size,best_epoch,training_time,num_parameters,train_accuracy,dev_accuracy,train_loss,dev_loss,accuracy_diff_pct,loss_diff_pct,timestamp
CNN_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.1,64,20,1094.2691280841827,598848,0.39202910626006776,0.3701333333333333,1.717195402927514,1.771749298201441,5.585241650962782,3.1769183158143868,2026-01-09 02:58:20
CNN_32_Dropout_Gridsearch_Relu,0.01,Adam,0.2,64,6,610.4053542613983,131456,0.38238626895517414,0.3595,1.866591069099109,1.9525797123085462,5.985117880332944,4.606721023846897,2026-01-08 23:21:29
CNN_32_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,128,18,437.9446940422058,131456,0.37340443259456757,0.3501666666666667,1.907876003356207,1.9725586774501396,6.2232164108056605,3.390297586433666,2026-01-09 20:34:03
CNN_32_64_Dropout_Gridsearch_Relu,0.005,Adam,0.2,64,20,1093.8975760936737,281024,0.41576403932677886,0.38563333333333333,1.6496828266873378,1.730530000698846,7.247068804275216,4.90077078476074,2026-01-09 02:12:38
CNN_64_Dropout_Gridsearch_Relu,0.01,Adam,0.2,64,17,979.414840221405,262848,0.3933233349997223,0.3640333333333333,1.8349790143407285,1.9413674027680843,7.446799887021611,5.797798644884176,2026-01-09 00:54:34
CNN_32_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.2,128,12,685.2472507953644,617024,0.3750541576403933,0.3471,1.8322712996366943,1.896791120792957,7.453365619585019,3.52130283157608,2026-01-09 19:35:30
CNN_32_Dropout_Gridsearch_Relu,0.01,Adam,0.1,128,7,286.4503126144409,131456,0.41531411431428095,0.3822,1.7592462026742475,1.8849692557720428,7.973269670585405,7.146416056301981,2026-01-09 15:51:42
CNN_64_128_256_Dropout_Gridsearch_Relu,0.005,Adam,0.2,128,13,668.2178704738617,1418304,0.3877798144753652,0.3557666666666667,1.8171796855472384,1.8855728966124514,8.255496189766793,3.7637010587985196,2026-01-09 20:18:43
CNN_32_Dropout_Gridsearch_Relu,0.01,Adam,0.1,64,16,1144.0634417533875,131456,0.4057601510859301,0.3712666666666667,1.7909635336764376,1.9241660472426587,8.500954154060965,7.437477707476652,2026-01-08 22:39:57
CNN_32_Dropout_Gridsearch_Relu,0.005,Adam,0.2,64,7,706.2274017333984,131456,0.42371826917735933,0.38676666666666665,1.7323482371376708,1.84826871377827,8.720795207257288,6.691522764044984,2026-01-08 23:11:02
CNN_64_Dropout_Gridsearch_Relu,0.01,Adam,0.1,64,14,851.6575303077698,262848,0.4024940287729823,0.36723333333333336,1.8176728799764346,1.940880641754248,8.760551193055571,6.778324259280949,2026-01-09 00:01:12
CNN_64_Dropout_Gridsearch_Relu,0.01,Adam,0.1,128,5,242.08216524124146,262848,0.41997444870299394,0.38266666666666665,1.7614695627636832,1.9086936296300685,8.883345677706064,8.358025025161151,2026-01-09 16:31:26
CNN_64_128_256_Dropout_Gridsearch_Relu,0.005,Adam,0.2,64,19,1349.389954328537,1418304,0.3937732600122202,0.3579,1.7934423340964563,1.8737192484361531,9.110131046254109,4.476135798374622,2026-01-09 06:59:16
CNN_64_Dropout_Gridsearch_Relu,0.01,Adam,0.2,128,18,440.0555794239044,262848,0.4191412542354052,0.3798666666666667,1.742370649441473,1.887879204750061,9.370251000556596,8.351182646197099,2026-01-09 16:53:52
CNN_32_Dropout_Gridsearch_Relu,0.005,Adam,0.2,128,9,330.1633884906769,131456,0.4280897628173082,0.3879,1.6994994969425594,1.8324586568994725,9.388162555631958,7.823430380303721,2026-01-09 16:04:49
CNN_32_Dropout_Gridsearch_Relu,0.01,Adam,0.2,128,20,440.7753245830536,131456,0.41986891073709937,0.3784666666666667,1.7467760268728532,1.892418015256841,9.860754871740594,8.3377597438592,2026-01-09 16:12:19
CNN_32_Dropout_Gridsearch_Relu,0.005,Adam,0.1,128,8,308.0269515514374,131456,0.4415819585624618,0.39676666666666666,1.6631089837820545,1.8290560362186838,10.148805001383682,9.978122543674276,2026-01-09 15:46:48
CNN_32_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.2,64,20,1351.3627195358276,617024,0.4197411542520691,0.3756,1.6492310897167408,1.7656187024960386,10.51627980837943,7.057083358723706,2026-01-09 05:16:39
CNN_64_Dropout_Gridsearch_Relu,0.005,Adam,0.1,64,5,485.40964698791504,262848,0.43111148141976335,0.3857333333333333,1.7088572848872956,1.874145455197739,10.525850050893535,9.672438522058597,2026-01-08 23:46:45
CNN_64_Dropout_Gridsearch_Relu,0.005,Adam,0.2,64,11,1053.4294164180756,262848,0.4381991890240515,0.3899666666666667,1.6882245483408609,1.8729913140664984,11.006985764808775,10.944442545111732,2026-01-09 00:37:56
CNN_32_Dropout_Gridsearch_Relu,0.001,Adam,0.2,64,17,1120.1911203861237,131456,0.4600455479642282,0.40726666666666667,1.5985306031416626,1.7631114103646675,11.472533867812903,10.29575579595079,2026-01-08 22:58:59
CNN_32_64_128_Dropout_Gridsearch_Tanh,0.01,Adam,0.2,64,20,1320.2610716819763,617024,0.3550519357884797,0.3142333333333333,38.49999488480694,44.80657453475985,11.49651595744682,16.38072853989298,2026-01-09 13:37:16
CNN_32_Dropout_Gridsearch_Relu,0.001,Adam,0.2,128,20,439.64232063293457,131456,0.4586846636671666,0.40486666666666665,1.596707498171521,1.7607478415712396,11.733114547634333,10.273662745842328,2026-01-09 15:59:10
CNN_32_Dropout_Gridsearch_Relu,0.005,Adam,0.1,64,20,1167.5108172893524,131456,0.43988779647836473,0.388,1.6868961600277546,1.8893812040784466,11.795689012917808,12.003408914474054,2026-01-08 22:20:27
CNN_32_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.1,128,11,619.313220500946,617024,0.41940232183524967,0.369,1.671097864389589,1.817973193209222,12.017654459969537,8.789151847386442,2026-01-09 18:58:36
CNN_64_128_256_Dropout_Gridsearch_Relu,0.005,Adam,0.1,128,12,634.2066380977631,1418304,0.4367161028717436,0.38043333333333335,1.6262212774816267,1.7876838689154766,12.88772480984966,9.92869750689104,2026-01-09 19:53:22
CNN_64_Dropout_Gridsearch_Relu,0.005,Adam,0.2,128,16,440.14616775512695,262848,0.4606454479808921,0.3993333333333333,1.618323123531301,1.8501168560474477,13.310044615941157,14.323081042700277,2026-01-09 16:46:23
CNN_64_128_256_Dropout_Gridsearch_Tanh,0.01,Adam,0.2,64,18,1319.183266401291,1418304,0.3520191079264567,0.3047,78.32488928237845,92.19788899045508,13.442198693470498,17.712121696158956,2026-01-09 15:33:58
CNN_32_Dropout_Gridsearch_Relu,0.001,Adam,0.1,64,20,1113.2416515350342,131456,0.47743153918791315,0.4126,1.5381792435390094,1.7566803767482864,13.579232594936707,14.205180191260048,2026-01-08 22:00:38
CNN_32_Dropout_Gridsearch_Relu,0.001,Adam,0.1,128,20,440.25732231140137,131456,0.47219352330167197,0.4064,1.5587600486534405,1.7665919019820842,13.9335929136915,13.333152431522894,2026-01-09 15:41:31
CNN_64_Dropout_Gridsearch_Relu,0.005,Adam,0.1,128,20,440.31805753707886,262848,0.46351719157918125,0.3988,1.6140964261673831,1.892109396609854,13.962198760890148,17.2240620780385,2026-01-09 16:27:15
CNN_32_64_Dropout_Gridsearch_Relu,0.005,Adam,0.2,128,20,575.5507485866547,281024,0.4790090540465478,0.4110333333333333,1.474850283418044,1.6729612172918116,14.190905190407726,13.432613201567486,2026-01-09 17:36:19
CNN_64_Dropout_Gridsearch_Relu,0.001,Adam,0.2,128,19,440.4471023082733,262848,0.4928845192467922,0.41633333333333333,1.4931653555013986,1.745602722370878,15.531261973989679,16.90618965537893,2026-01-09 16:38:55
CNN_32_64_128_Dropout_Gridsearch_Tanh,0.01,Adam,0.1,64,19,1321.6322417259216,617024,0.36737765927900906,0.3098666666666667,41.973350794087345,50.89791434965154,15.654461059284234,21.262451976603625,2026-01-09 12:42:11
CNN_32_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.2,128,14,751.2647225856781,617024,0.4748653002277398,0.3992,1.487678474793641,1.709031727973451,15.934055445081297,14.879105729516892,2026-01-09 19:23:51
CNN_64_128_256_Dropout_Gridsearch_Tanh,0.01,Adam,0.1,64,16,1319.54874253273,1418304,0.36856079542298503,0.3090333333333333,74.57139909881906,90.53204340009547,16.151327767060522,21.403171315219666,2026-01-09 14:42:12
CNN_32_64_Dropout_Gridsearch_Relu,0.005,Adam,0.1,128,17,566.5224022865295,281024,0.4879520079986669,0.40853333333333336,1.4533418612693674,1.6964772031662312,16.27591922227534,16.729397836549364,2026-01-09 17:13:13
CNN_64_128_256_Dropout_Gridsearch_Relu,0.005,Adam,0.1,64,20,1349.7428531646729,1418304,0.4571293673276676,0.3816,1.5344027187575915,1.7765864776904141,16.52253666597811,15.783585102672342,2026-01-09 06:11:55
CNN_64_Dropout_Gridsearch_Relu,0.001,Adam,0.2,64,20,1107.7323145866394,262848,0.4977281564183747,0.4149,1.483227824342662,1.7502594233067559,16.641243889918087,18.003410843673805,2026-01-09 00:20:04
CNN_32_64_128_Dropout_Gridsearch_Relu,0.005,Adam,0.1,64,10,1082.5870988368988,617024,0.4804588124201522,0.3958333333333333,1.473805152793563,1.7620802916951779,17.613472143542555,19.559922039571934,2026-01-09 04:27:00
CNN_32_64_128_Dropout_Gridsearch_Relu,0.001,Adam,0.1,64,3,609.6528077125549,617024,0.5248680775426318,0.4311333333333333,1.3489182479772286,1.6411878955898,17.858724548109894,21.666965218303233,2026-01-09 04:08:33
