timestamp,model_name,optimizer,learning_rate,best_epoch,epochs_completed,best_dev_accuracy,best_dev_loss,total_training_time_sec
2026-01-08 02:13:52,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.001,20,20,0.3218,2.297630437147389,1180.33
2026-01-08 02:16:31,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.005,15,20,0.1745,3.0513490778334598,710.22
2026-01-08 02:22:27,MLP_256_128_Dropout_Gridsearch_Relu,Adam,0.01,4,10,0.1088,3.43331753345246,355.83
2026-01-08 02:33:45,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.005,19,20,0.3381,2.2564321253091286,1176.8
2026-01-08 02:34:16,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3584333333333333,1.9854119179096628,709.16
2026-01-08 02:46:05,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.005,19,20,0.24956666666666666,2.678137241525853,709.35
2026-01-08 02:52:04,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.01,4,10,0.13936666666666667,3.2422082180672502,358.56
2026-01-08 02:53:37,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.01,15,20,0.32053333333333334,2.2973253988762146,1174.62
2026-01-08 03:03:56,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3329,2.1237599251118113,711.97
2026-01-08 03:13:33,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.001,20,20,0.31526666666666664,2.353758672915542,1178.51
2026-01-08 03:15:46,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.005,18,20,0.21023333333333333,2.8573332137249885,710.14
2026-01-08 03:24:39,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.01,9,15,0.12086666666666666,3.3777148175746836,532.36
2026-01-08 03:33:28,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.005,20,20,0.33103333333333335,2.282477821622576,1178.47
2026-01-08 03:36:32,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3008,2.3225618555190715,713.64
2026-01-08 03:46:01,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.005,10,16,0.17583333333333334,3.053017190162172,568.57
2026-01-08 03:50:46,MLP_512_256_Dropout_Gridsearch_Relu,Adam,0.01,2,8,0.10306666666666667,3.5039756896648,285.62
2026-01-08 03:53:20,LSTMHiddenState_Dropout_Tanh_Gridsearch_64,Adam,0.01,18,20,0.3073666666666667,2.412106450178476,1174.35
2026-01-08 04:05:46,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.001,20,20,0.3175,2.326394481861845,899.94
2026-01-08 04:07:47,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.001,8,14,0.3611666666666667,2.123830116379744,849.01
2026-01-08 04:20:50,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.005,20,20,0.20846666666666666,2.9364001314690773,903.96
2026-01-08 04:23:12,LSTMHiddenState_Dropout_Tanh_Gridsearch_256,Adam,0.005,9,15,0.3727666666666667,2.1367071717024357,907.79
2026-01-08 04:31:18,MLP_512_256_128_Dropout_Gridsearch_Relu,Adam,0.01,8,14,0.1204,3.345568294728056,627.72
